Title,Day,Date,Time,Content,Source,URL
ASEAN All Stars Vs MU: Setan Merah Kalah 0-1,Rabu,2025-05-28,21:43:00,"Kuala Lumpur - Manchester United memulai tur pramusim di Malaysia untuk melawan ASEAN All Stars. Setan Merah harus menelan kekalahan di laga ini. ASEAN All Stars vs Manchester United berlangsung di Stadion Bukit Jalil, Malaysia, Rabu (28/5/2025) malam WIB. Pasukan Ruben Amorim menyerah 0-1. Man United berjuang keras untuk menembus lima pemain bertahan ASEAN All Stars di 15 menit awal. Kerumunan di barisan belakang membuat MU kesulitan menciptakan ancaman. Nguyen Hai Long dari ASEAN All Stars mengancam MU di menit ke-17. Dia melepaskan tembakan dari jarak jauh dan cuma menghasilkan sepak pojok. Casemiro mencoba melepaskan tembakan di menit ke-22. Namun, bola dari percobaannya itu belum mengarah ke gawang. ASEAN All Stars melancarkan serangan balik di menit ke-26. Sandro Reyes melepaskan tembakan yang berhasil ditepis. Sandro Reyes hampir membobol gawang MU. Dia melepaskan tembakan mendatar yang bisa dibendung kiper Andre Onana di menit ke-28. MU belum terlihat mampu berbuat banyak untuk membongkar pertahanan lawan. Kobbie Mainoo sampai harus mencoba dengan tembakan jarak jauh di menit ke-35. Kedua tim tak mampu mencetak gol di babak pertama. Alhasil, skor 0-0 bertahan sampai turun minum. ASEAN All Stars tampak lebih sedikit mendominasi di 10 menit awal babak kedua. Tim besutan Kim Sang-sik juga menerapkan garis pertahanan yang tinggi. Sampai laga berjalan satu jam, belum juga tercipta gol. Tempo pertandingan juga berjalan lambat. ASEAN All Stars berhasil memimpin 1-0 di menit ke-71. Maung Maung Lwin membobol gawang Tom Heaton setelah memanfaatkan umpan terobosan. MU tampak hilang akal dalam melancarkan serangan. Tim asal Inggris itu sangat sulit membuat peluang. Alhasil, MU menyerah 0-1. Susunan Pemain: Man United: Onana (Heaton 46'); Munro, Maguire (Armer 32'), Heaven, Dalot (Kamason 32'); Casemiro (Kone 32'), Ugarte, Dorgu, Moorhouse (Lacey 32') (Garnacho 46'), Mainoo (Fernandes 46'); Hojlund (Obi-Martin 46') ASEAN All Stars: Khammai; Kan, Aguinaldo (Irfan 46') (Kakang 68'), Delbridge, Adamson (Ra'op 39'); Aguero, Reyes (Hoang Duc 46'), Lambert (Azmi 46'); Kader (Bounkong 39') (Maung Maung Lwin 54'), Hai Long, Yaya.",sport.detik.com,https://sport.detik.com/sepakbola/liga-inggris/d-7938117/asean-all-stars-vs-mu-setan-merah-kalah-0-1
"Skor ASEAN All Stars Vs Man United 1-0, MU Menanggung Malu di Bukit Jalil demi Rp 171 Miliar",Rabu,2025-05-28,22:23:00,"Kompas.com - Manchester United harus menanggung malu setelah kalah 0-1 dari ASEAN All Stars dalam laga pertama tur pasca-musim di Asia yang digelar di Stadion Nasional Bukit Jalil pada Rabu (28/5/2025), lewat gol tunggal kapten Timnas Myanmar, Maung Maung Lwin, pada menit ke-71 hasil umpan Adrian Segecic. Meskipun menurunkan skuad kuat seperti Andre Onana, Casemiro, dan Rasmus Hojlund sejak awal, serta memasukkan Bruno Fernandes dan Alejandro Garnacho di babak kedua, MU tetap kesulitan menembus pertahanan solid ASEAN All Stars yang dikawal Pattiwat Khammai dan Haziq Nadzli. Dua pemain Timnas Indonesia, Kakang Rudianto dan Malik Risaldi, turut ambil bagian dalam pertandingan yang disaksikan 72.000 penonton. Kekalahan ini memperpanjang tren buruk MU yang belum meraih kemenangan beruntun sejak Maret dan sebelumnya finis di posisi ke-15 Premier League serta kalah di final Liga Europa, membuat mereka absen dari kompetisi Eropa musim depan dan mengalami potensi kerugian finansial hingga 140 juta pound. Setelah laga ini, MU dijadwalkan melanjutkan tur ke Hong Kong untuk menghadapi timnas setempat, dalam tur yang menurut BBC diperkirakan menghasilkan 7,8 juta pound atau sekitar 171 miliar rupiah bagi klub.",www.kompas.com,https://www.kompas.com/sports/read/2025/05/28/22233688/skor-asean-all-stars-vs-man-united-1-0-mu-menanggung-malu-di-bukit-jalil
Hasil ASEAN All Stars vs Manchester United: Setan Merah Kalah 0-1!,Rabu,2025-05-28,21:46:00,"HASIL ASEAN All Stars vs Manchester United di laga persahabatan. Setan Merah -julukan Man United- kalah 0-1. Laga ASEAN All Stars vs Manchester United berlangsung di Stadion Bukit Jalil, Kuala Lumpur, Malaysia, pada Rabu (28/5/2025) malam WIB. Gol semata wayang ASEAN All Stars tercipta lewat aksi bintang Myanmar, Maung Maung Lwin (71’). ASEAN All Stars diisi para pemain bintang dari negara-negara Asia Tenggara. Indonesia memiliki dua pemain yang turut membela ASEAN All Stars, yakni Kakang Rudianto dan Malik Risaldi. Keduanya pun turut dimainkan pada babak kedua. Jalannya Pertandingan Babak Pertama Jual beli serangan langsung tersaji di awal laga. Man United dapat peluang emas lebih dahulu untuk cetak gol. Sayangnya, serangan Diogo Dalot pada menit ketiga belum bisa berbuah gol. bola masih bisa ditepis oleh kiper asal Thailand, Patiwat Khammai, yang kawal gawang ASEAN All Stars. Tak tinggal diam, skuad ASEAN All Stars juga membangun serangan balik. Pada menit ke-11, wasit beri hadiah tendangan bebas dari luar kotak penalti usai Ayden Heaven lakukan pelanggaran kepada Nguyen Hai Long. Sayang, tendangan bintang Vietnam, Nguyen Hai Long, masih melambung di atas mistar gawang. Skor 0-0 pun masih terus terjaga hingga pertengahan laga. Penyelamatan ciamik kembali dilakukan Patiwat Khammai kala Harry Maguire berhasil menyundul bola hasil sepak pojok. Alhasil, gawang ASEAN All Stars belum terbobol Man United. Pada menit ke-27, Sandri Miguel Sison Reyes dapat peluang emas. Dia lepaskan tendangan keras berhasil melewati adangan Manuel Ugarte dan Reece Munro. Tetapi, bola masih bisa ditangkap Onana. Jelang akhir laga, Mainoo coba peruntungannya. Dia melepaskan tembakan dengan kaki kirinya lewat tendangan setengah voli. Tetapi, bola dihalau Harrison Andrew Delbridge. Jual beli serangan terus tersaji hingga akhir laga babak pertama, tetapi tak kunjung berbuah gol. Skor 0-0 pun terus terjaga. Babak Kedua Kedua tim melakukan sejumlah pergantian pemain di babak kedua. Amad Diallo, Chido Obi-Martin, dan juga Bruno Fernandes dimasukkan. Begitu juga dengan sang kiper, Andre Onana, dia digantikan Tom Heaton. Man United pun makin intens tebar serangan. Salah satunya tercipta lewat kerja sama Alejandro Garncaho dengan Obi. Sayangnya, Obi yang memutuskan mengeksekusi langsung bola gagal memanfaatkan kesempatan dengan baik. Dia gagal mencetak gol. Obi kembali mencoba peruntungannya. Dia melepaskan tendangan keras, namun tetap saja bola tak berbuah gol. Alih-alih cetak gol, Man United malah kebobolan. Pemain Myanmar, Maung Maung Lwin, yang masuk dari bangku cadangan berhasil menjebol gawang Man United yang dikawal pada menit ke-71. Gol berawal dari umpan Adrian Segecic yang disambut Lwin. Dia kemudian melepaskan tendangan keras yang gagal dihalau Heaton. ASEAN All Stars memimpin 1-0. Pemain Indonesia, Kakang Rudianto, pun akhirnya dimasukkan ke lapangan oleh Kim Sang Sik pada menit ke-77. Dia turut membantu menjaga dengan baik pertahanan ASEAN All Stars hingga tak kebobolan satu gol pun oleh Man United. Jelang akhir laga, Kim Sang Sik juga memainkan satu pemain lain Indonesia, yakni Malik Risaldi. Kiprah manis turut ditunjukkan para pemain Indonesia hingga bisa membantu ASEAN All Stars mempertahankan keunggulan 1-0 hingga akhir laga. Berikut Susunan Pemain ASEAN All Stars vs Manchester United: ASEAN All Stars: Patiwat Khammai; Mo Kan, Amani Santos Aguinaldo, Harrison Andrew Delbridge, Declan Stephen Lambert; Kealey Adamson, Sergio Aguero, Nguyen Hai Long, Sandri Miguel Sison Reyes; Abdel Kader Coulibaly, Yaya Dukuly. Cadangan: Adrian Segecic, Bounphachan Bounkong, Muhammad Haziq Bin Nadzli, Lee Kit Meng, Muhammad Azam Bin Azmi Murad, Muhammad Adib bin Abdul Raop, Maung Maung Lwin, Irfan Fandi Ahmad, Benjamin James Davis, Worachit Kanitsribampen, Joao Pedro Da Silva Freitas, Nguyen Hoang Duc, Do Duy Manh, Nguyen Van Vi, Kakang Rusdianto, Malik Risaldi. Pelatih: Kim Sang Sik. Manchester United: Andre Onana; Reece Munro, Harry Maguire, Ayden Heaven; Diogo Dalot, Casemiro, Manuel Ugarte, Patrick Dorgu; Jack Moorhouse, Kobbie Mainoo, Rasmus Hojlund. Cadangan: Bayindir, Heaton, Amass, Armer, Evans, Fredricson, Kamason, Kukonki, Collyer, Fernandes, Fletcher, Kone, Thwaites, Amad, Garnacho, Lacey, Obi. Pelatih: Ruben Amorim.",bola.okezone.com,https://bola.okezone.com/read/2025/05/28/51/3142856/hasil-asean-all-stars-vs-manchester-united-setan-merah-kalah-0-1
ASEAN All Stars Hajar Manchester United,Rabu,2025-05-28,21:43:00,"Jakarta, CNN Indonesia -- ASEAN All Stars menang atas Manchester United dalam laga persahabatan di Stadion Bukit Jalil, Kuala Lumpur, Malaysia, Rabu (28/5) malam. Anak asuh Ruben Amorim cukup mendominasi penguasaan bola, namun kesulitan menciptakan peluang berarti. Bintang-bintang ASEAN kemudian membahayakan gawang Andre Onana melalui Sandro Reyes dan Nguyen Hai Long. Harry Maguire sempat berupaya memanfaatkan sepak pojok, namun bola masih bisa diamankan kiper Pattiwat Khammai. Memasuki menit ke-30 Amorim melakukan pergantian pemain. Maguire dan Casemiro ditarik keluar. Tanpa dua pemain tersebut, Man Utd bisa mengancam gawang lawan lewat Patrick Dorgu dan Kobie Mainoo. Tidak ada gol hingga babak pertama berakhir. Memasuki babak kedua, MU kembali mencoba melakukan pendekatan yang sama. Tampak lebih banyak menguasai bola, namun lagi-lagi kesulitan menciptakan kans yang benar-benar membahayakan. Keberadaan Bruno Fernandes dan Alejandro Garnacho tampak tidak memberi pengaruh berarti. Pertahanan ASEAN All Stars tampak kukuh dan membuat Setan Merah seperti menemui jalan buntu. Pada menit ke-68 salah satu pemain asal Indonesia, Kakang Rudianto masuk menggantikan Irfan Fandi. Pemain Persib itu turut menggalang lini belakang membendung serangan tamu. Memasuki menit ke-71 serangan balik ASEAN All Stars menghasilkan gol. Umpan terobosan pemain Australia Adrian Segecic bisa dituntaskan dengan baik oleh Maung Maung Lwin. Eksekusi akhir pemain andalan Myanmar itu membuat bola tak bisa digapai kiper Tom Heaton. ASEAN All Stars memimpin 1-0. MU terus berupaya menyamakan kedudukan, namun selalu bertemu dengan kegagalan. Kakang Rudianto tampil disiplin di lini belakang. Sementara pemain Indonesia lainnya, Malik Risaldi masuk pada menit ke-83. Upaya MU mencetak gol pertama dalam laga ini tak kunjung berhasil. Sementara ASEAN All Stars punya kans melalui Segecic pada menit akhir laga yang digagalkan tekel Jonny Evans. Hingga laga bubar skor 1-0 untuk ASEAN All Stars bertahan. Susunan Pemain Inti ASEAN All Stars vs Manchester United: ASEAN All Stars: Pattiwat Khammai; Amani Aguinaldo, Kan Mo, Harrison Delbridge; Adamson, Sandro Reyes, Sergio Aguero, Declan Lambert; Nguyen Hai Long, Dukuly, Abdel Coulibaly. Man United: Onana; Munro, Maguire, Heaven; Dalot, Ugarte, Casemiro, Dorgu; Moorhouse, Mainoo; Hojlund.",www.cnnindonesia.com,https://www.cnnindonesia.com/olahraga/20250528213751-142-1234366/asean-all-stars-hajar-manchester-united
"ASEAN All-Star Kejutkan Manchester United 1-0, Dua Pemain Indonesia Turun Berlaga",Kamis,2025-05-29,08:00:00,"Suara Kalbar – Tim gabungan ASEAN All-Star sukses membuat kejutan besar usai mengalahkan Manchester United dengan skor tipis 1-0 dalam laga persahabatan bertajuk Challenge Cup Malaysia 2025, yang digelar di Stadion Bukit Jalil, Kuala Lumpur, pada Rabu (28/5/2025). Dalam laga ini, dua pemain Indonesia, yakni Malik Risaldi (Persebaya Surabaya) dan Kakang Rudianto (Persib Bandung), turut ambil bagian. Keduanya tampil sebagai pemain pengganti dan diturunkan pada babak kedua. Satu-satunya gol yang membawa ASEAN All Star memetik kemenangan dalam partai persahabatan ini dicetak Maung Maung Lwin pada menit ke-71. Manchester United menjalani pertandingan persahabatan melawan ASEAN All-Stars dalam rangkaian tur pramusim mereka di Malaysia. Tim ASEAN All-Star dibesut oleh pelatih timnas Vietnam, Kim Sang-sik, dan dihuni oleh 26 pemain dari 12 negara anggota AFF. Dari Indonesia, terdapat dua nama yang dipanggil memperkuat tim ini, yakni Kakang Rudianto dari Persib Bandung dan Malik Risaldi dari Persebaya Surabaya. Skuad inti ASEAN All-Star didominasi pemain asal Australia. Tercatat, tiga pemain dari Negeri Kanguru turun sebagai starter, yaitu Kealey Adamson, Yaya Dukuly, dan Harrison Delbridge. Sementara itu, Manchester United tampil dengan sejumlah pemain andalannya. Pelatih Ruben Amorim menurunkan nama-nama seperti Harry Maguire, Rasmus Hojlund, hingga Casemiro untuk memperkuat lini utama. Kedua tim belum mampu menciptakan gol pada babak pertama. Manchester United tampil dominan, tetapi gagal menembus ketatnya permainan ASEAN All-Star. Skor 0-0 bertahan hingga babak pertama usai. Man United sebenarnya tetap tampil dominan dalam penguasaan bola. Namun, kerja sama para pemain asuhan Ruben Amorim ini kembali gagal menghasilkan gol. Saat Man United tengah asik menyerang, ASEAN All-Star kemudian mampu membuat serangan balik. Berawal dari serangan balik, para pemain asuhan Kim Sang-sik berhasil merangsek pertahanan Man United. Pemain nomor punggung 21 berhasil mengirimkan umpan dari sisi kiri. Bola kemudian dimanfaatkan Maung Maung Lwin. Pemain Myanmar asal klub Lamphuns Warriors ini kemudian berhasil memaksimalkan umpan untuk menjebol gawang Man United pada menit ke-71. Man United tidak menyerah setelah tertinggal. Namun upaya mereka menembus pertahanan ASEAN All-Star selalu gagal membuahkan gol. Pasukan Ruben Amorim sebenarnya mampu membuat empat tendangan tepat gawang, tetapi gagal membuahkan gol, Skor 1-0 untuk memenangan ASEAN All-Star bertahan hingga pertandingan usai. Susunan pemain ASEAN All-Star vs Man United: ASEAN All-Stars: Patiwat Khammai (GK), Sergiio Aguero, Mo Kan, Sandro Reyes, Nguyen Hai Long, Amani Santos, Lambert Declan, Kealey Adamson, Yaya Dukuly, Coulibaly Abdel, Harrison Delbridge. Pelatih: Kim Sang-sik. Manchester United: Andre Onana, Harry Maguire, Rasmus Hojlund, Patrick Dorgu, Casemiro, Diogo Dalot, Manuel Ugarte, Ayden Heaven, Kobbie Mainoo, Jack Moorhouse, Reece Munro. Pelatih: Ruben Amorim.",www.suarakalbar.co.id,https://www.suarakalbar.co.id/2025/05/asean-all-star-kejutkan-manchester-united-1-0-dua-pemain-indonesia-turun-berlaga/
,,,,,,
,,,,,,
,,,,,,
