User,Comment,Source,clean_text
d4us122,makan dulu nak,tiktok_1,makan dulu nak
ramadhanporbi,mu cuma sekelas bontang fc😂,tiktok_1,mu cuma sekelas bontang fc
s_putri94,sabar.. mungkin sengaja mengalah. 🤣,tiktok_1,sabar mungkin sengaja mengalah
alifgood2,hahahah manchester united masuk gua,tiktok_1,hahahah manchester united masuk gua
farhanmaulana503,hah kasian tidak juara,tiktok_1,hah kasian tidak juara
triwans,bang nanti dukung china dulu ya bang soalnya tim abg dukung selalu kalah 😅😂,tiktok_1,bang nanti dukung china dulu ya bang soalnya tim abg dukung selalu kalah
winner.win222,jadi Kasian nengoknya 😩😩😩🗿🗿🗿,tiktok_1,jadi kasian nengoknya
wayaewayae92,emang kalah menang wajar tapi ini mah kalah Mulu bukan wajar,tiktok_1,emang kalah menang wajar tapi ini mah kalah mulu bukan wajar
ultramangeed41,lawan asia pun kalah apalagi liga champion,tiktok_1,lawan asia pun kalah apalagi liga champion
fardiansyahlee,plis..siapa sih yg nyuapin itu.gak tau apa klo org lagi patah hati gitu. udah bang jgn sedih.dicoba lagi dah 🤗,tiktok_1,plissiapa sih yg nyuapin itugak tau apa klo org lagi patah hati gitu udah bang jgn sedihdicoba lagi dah
dri_pw,MU bgebadut lawan asean allstar😭🗿,tiktok_1,mu bgebadut lawan asean allstar
4n4t4y4,timnas indo lawan mu menang mana ya kirakira🤣,tiktok_1,timnas indo lawan mu menang mana ya kirakira
gazellax,udah jualan lalapan aja,tiktok_1,udah jualan lalapan aja
2tomue,balik gua,tiktok_1,balik gua
rizkimlyana,mu kalau di liga satu sekelas madura kaya nya,tiktok_1,mu kalau di liga satu sekelas madura kaya nya
rzky.rmdhn95,di puji tidak terbang di hina tiap hari bang(MU),tiktok_1,di puji tidak terbang di hina tiap hari bangmu
d.kamil,lawan mitra kukar sepertinya gak bakal menang juga ini,tiktok_1,lawan mitra kukar sepertinya gak bakal menang juga ini
imdots11,PD gw di aduin Ama Persib aing g 🤣,tiktok_1,pd gw di aduin ama persib aing g
triarchiveee.jpg,@🌻 jangan ngga makan ya,tiktok_1,jangan ngga makan ya
budak.bola620,makanlah sedikit nanti sakit [embarrassed][embarrassed][embarrassed],tiktok_1,makanlah sedikit nanti sakit embarrassedembarrassedembarrassed
naufal.haqeem1,yes asean menang,tiktok_1,yes asean menang
saya_manusia193,lawan 1 negara ok la tu ni all star MMG x menang la cm ni💔,tiktok_1,lawan negara ok la tu ni all star mmg x menang la cm ni
md_as_nl,kat situ Ade Malaysia juga,tiktok_1,kat situ ade malaysia juga
barabacut,mu kapan menangnya sih,tiktok_1,mu kapan menangnya sih
fahrizudan0,kan ada Asnawi,tiktok_1,kan ada asnawi
zifir549,gua doain dah lawan hongkong menang kasian 😅,tiktok_1,gua doain dah lawan hongkong menang kasian
berekele00,Di bubarin pun saya tetap “MANCHESTER UNITED” forever.❤️❤️,tiktok_1,di bubarin pun saya tetap manchester united forever
a_r210223,"""kalah menang soal baisa.",,kalah menang soal baisa
fadhlur70,sian dia kalah 1-0,tiktok_1,sian dia kalah
ryken6077,"menang kalah itu adat,MU kalah itu tabiat",tiktok_1,menang kalah itu adatmu kalah itu tabiat
gilangjuliansyah27,"Itu pemainnya juga pasti belum pada kenal jir, belum akrab 😭😭",tiktok_1,itu pemainnya juga pasti belum pada kenal jir belum akrab
tapak_soenda99,"""Coba Deh LIGA 2 Penggadaian",,coba deh liga penggadaian
eellmmyraa,@ZYT_RTZ emyu dikon jualan pecel lele bae😭,tiktok_1,zytrtz emyu dikon jualan pecel lele bae
shrek2k0k1k1,"kalah menang itu adat permainan ,mu kalah tu tabiat",tiktok_1,kalah menang itu adat permainan mu kalah tu tabiat
kang.semugh,"""gkpp namanya pertandingan ada menang ada kalah,",,gkpp namanya pertandingan ada menang ada kalah
hotsugar7,hampir dimalukan 2-0🤣,tiktok_1,hampir dimalukan
samsul_alam2004,Emang paling bener dah kalo mau tsunami tropy wajib join klub liga 4 indo,tiktok_1,emang paling bener dah kalo mau tsunami tropy wajib join klub liga indo
aloneisbetter_13,buat fans mu ngetiknya jgn sambil nangis😹😹,tiktok_1,buat fans mu ngetiknya jgn sambil nangis
vertruce,siap siap degradasi dah mu😂😂,tiktok_1,siap siap degradasi dah mu
dianramdaniii,MU main di liga 4 indonesia aja bakalan degradasi,tiktok_1,mu main di liga indonesia aja bakalan degradasi
arwan_one.be,Fans MU tidak ada berani buka medsos,tiktok_1,fans mu tidak ada berani buka medsos
raysvsy,ada apa dengan MU 😭,tiktok_1,ada apa dengan mu
danyap871,gak wajar inimah😹,tiktok_1,gak wajar inimah
devann_fahrizky,di gol in orang Myanmar loh cik 😹😹😹,tiktok_1,di gol in orang myanmar loh cik
yann_to_dak,kalah menang itu adat tapi kalo kalah terus itu mu 🗿,tiktok_1,kalah menang itu adat tapi kalo kalah terus itu mu
ikidung,udah degradasi aja udah ke liga 3,tiktok_1,udah degradasi aja udah ke liga
abanantos,"""kalah menang itu hal wajar",,kalah menang itu hal wajar
mulki2675,sekelas mu kalah sama tim yg baru bikin group wa semalem🤣,tiktok_1,sekelas mu kalah sama tim yg baru bikin group wa semalem
junetsaputra2,mu lawan tim tarkam pasti kalah juga🤣🤣,tiktok_1,mu lawan tim tarkam pasti kalah juga
cik.siti966,kahsian 😂😂😂😂😂,tiktok_1,kahsian
daisulo04,Main liga tarkam bang kalau mau menang🙏🏽😭,tiktok_1,main liga tarkam bang kalau mau menang
ptczoo_,"kalah menang itu hal yang wajar,tapi kalo kalah terus itu g wajar🗿",tiktok_1,kalah menang itu hal yang wajartapi kalo kalah terus itu g wajar
mr.errrr24,"prestasi muyuk musim ini lolos dari degradasi saja 😂😂😂😂, mana nih pemuja muyukk ayoo keluar 😜😜😜",tiktok_1,prestasi muyuk musim ini lolos dari degradasi saja mana nih pemuja muyukk ayoo keluar
brother02__,@md @bhismaputran,tiktok_1,md bhismaputran
rasyapratama240,semangat,tiktok_1,semangat
triii28__,semangat yh😭🙏,tiktok_1,semangat yh
hykkimr_,"udah bg terjemahin translate caption aja bg, gpp imbang juga 😹",tiktok_1,udah bg terjemahin translate caption aja bg gpp imbang juga
boy_111111111,"mu kan ga ikut ucl, ikut aja piala presiden gimna?",tiktok_1,mu kan ga ikut ucl ikut aja piala presiden gimna
ayu_rinon,MU lawan Persik Kediri juga kalah,tiktok_1,mu lawan persik kediri juga kalah
kunnnwz_,kalah sama tim yang baru 1 bulan di bentuk🤣🤣🤣🤣🤣,tiktok_1,kalah sama tim yang baru bulan di bentuk
zhang.sen46,kalah sama klub all stars 😭🗿,tiktok_1,kalah sama klub all stars
rvnnsptraaa,mu ini tim bola bukan si😭,tiktok_1,mu ini tim bola bukan si
besspro11,coba MU main di liga 2 Indonesia bg.. mungkin juara ( MUNGKIN )😅,tiktok_1,coba mu main di liga indonesia bg mungkin juara mungkin
dapaacukimay,@Puad✧ jan lupa maem ngab😁😁🗿🗿,tiktok_1,puad jan lupa maem ngab
jehanygy7,tim yg latihan bertahun² kalah dengan tim yg baru latihan 2 hari😂😭,tiktok_1,tim yg latihan bertahun kalah dengan tim yg baru latihan hari
batikoliver,tim ini kenapa sih😭,tiktok_1,tim ini kenapa sih
aqua__11,Maen tarkam aj mu haha,tiktok_1,maen tarkam aj mu haha
dominus16,padan muka,tiktok_1,padan muka
dominus16,padan muka,tiktok_1,padan muka
apiszovg364,kenapa lah tk panggil Liverpool nak tgok juga Liverpool kalah 🙄.. ni mu dah lah kalau final lagi dgn ASEAN kalah lagi 😮‍💨,tiktok_1,kenapa lah tk panggil liverpool nak tgok juga liverpool kalah ni mu dah lah kalau final lagi dgn asean kalah lagi
nurfaizi5448,stop la hina team yang memang sudah terlalu hina,tiktok_1,stop la hina team yang memang sudah terlalu hina
do7_73,apalagi ni yang mau di ganti platih udh🗿,tiktok_1,apalagi ni yang mau di ganti platih udh
dimzlucky,"fun match? emang iya fun match, tapi laga serius juga keok mulu, minimal kalo fun bisa nge bobol lah bukan keok 🤪🤪",tiktok_1,fun match emang iya fun match tapi laga serius juga keok mulu minimal kalo fun bisa nge bobol lah bukan keok
fanjinurdiansyah,"dlu allstar eropa pun dilibas, sekarang malah di ayam ayamin allstar asia 😁",tiktok_1,dlu allstar eropa pun dilibas sekarang malah di ayam ayamin allstar asia
aditt_fr,tapi mu kalah sama all star ga wajarr😁,tiktok_1,tapi mu kalah sama all star ga wajarr
dxxxnz7,hahahahaha ASEAN ni boss ada Arif Aiman senggol dong,tiktok_1,hahahahaha asean ni boss ada arif aiman senggol dong
xiaos011,"kalah menang itu adat,MU kalah itu tabiat",tiktok_1,kalah menang itu adatmu kalah itu tabiat
dzekosukataro,kalah sama tim yang baru 1 minggu😹,tiktok_1,kalah sama tim yang baru minggu
hasan_alhusni3,"sprti kata boah, emyu mah vs PS TNI aja kalah :)))",tiktok_1,sprti kata boah emyu mah vs ps tni aja kalah
kodir.utina,kalah sama tim yang baru di bentuk beberapa hari.... dasar 🤡,tiktok_1,kalah sama tim yang baru di bentuk beberapa hari dasar
_mutiara.aaaa,plisss yakali kalah sama team yg baru di bikin kemaren sore😭😭😭😭😭,tiktok_1,plisss yakali kalah sama team yg baru di bikin kemaren sore
fariez13,bang lain kali jangan pilih mu hahahha kalah,tiktok_1,bang lain kali jangan pilih mu hahahha kalah
l1nkobkt,udhh cukup makan kekalahan 😔🤧🤧,tiktok_1,udhh cukup makan kekalahan
allexxx2805,KASIHAN 😅😅,tiktok_1,kasihan
mes_i2,@ᅠ່່່ᅠ່່ ngan asean kalah juak su,tiktok_1,ngan asean kalah juak su
highesmusik,daenk rukka menghilang dari lane,tiktok_1,daenk rukka menghilang dari lane
masalalunya430,haha berharap,tiktok_1,haha berharap
kenthus15,MU tim apaan?,tiktok_1,mu tim apaan
fawwaz.hamdi,"kalah menang itu adat permainan, tapi kalau mu kalah itu tabiat",tiktok_1,kalah menang itu adat permainan tapi kalau mu kalah itu tabiat
rryannsyah,"apakah MU kalah karena ngalah, apa kalah beneran🗿",tiktok_1,apakah mu kalah karena ngalah apa kalah beneran
hackerqaiser2,jauh2 ke malaysia cuma buat kalah,tiktok_1,jauh ke malaysia cuma buat kalah
putraamr421,Tim setara klasmen nya semen Padang 😁,tiktok_1,tim setara klasmen nya semen padang
satria._.yee,jangan dihina soalnya udah hina😹,tiktok_1,jangan dihina soalnya udah hina
abas9088gamers,babak pertama aja ruben udah gigit jari 🤭,tiktok_1,babak pertama aja ruben udah gigit jari
fahimaazad1,MU MASUK GUA,tiktok_1,mu masuk gua
rafa.fanns7ronaldo,mu cuma passing aj biasa nya ad strategi.,tiktok_1,mu cuma passing aj biasa nya ad strategi
vanhauten_,"""Kalah menang hal yg wajar",,kalah menang hal yg wajar
farhat13729,Tu la ckp banyak,tiktok_1,tu la ckp banyak
mohd.zulhelmi.bin,kalah tetap kalah...MU kalah😂😂😂,tiktok_1,kalah tetap kalahmu kalah
daltupai,udah hina tambah hina pulak,tiktok_1,udah hina tambah hina pulak
ranggasyaputra085,masak kalah sama Asean al stars,tiktok_1,masak kalah sama asean al stars
ardi_syhaputra,kalah sama tim di betuk 2 harii 🗿🗿🗿🗿🗿,tiktok_1,kalah sama tim di betuk harii
mat.saleh.saleh1,dibilang mu tidak pantas mendapat piala sekolah eh ternyata betul betul ngadapat🤣,tiktok_1,dibilang mu tidak pantas mendapat piala sekolah eh ternyata betul betul ngadapat
dann_random,"""macam macam tingkat kesulitan",,macam macam tingkat kesulitan
owner_elang,salah banget munyuk ga masukkin gua,tiktok_1,salah banget munyuk ga masukkin gua
firly.alif,klo menurut aku mu sengaja mengalah 😂,tiktok_1,klo menurut aku mu sengaja mengalah
mat.saleh.saleh1,dibilang mu tidak pantas mendapat piala sekolah eh ternyata betul betul ngadapat🤣,tiktok_1,dibilang mu tidak pantas mendapat piala sekolah eh ternyata betul betul ngadapat
henra.wel,aku mimpi tim lu menqg,tiktok_1,aku mimpi tim lu menqg
mr.turu1919,bukan masalah pertandingan biasa harga diri nya itu lohh jatuh🤣,tiktok_1,bukan masalah pertandingan biasa harga diri nya itu lohh jatuh
albertdarryl1,"kalah sama tim 2 hari dibentuk, gk percaya aku😭",tiktok_1,kalah sama tim hari dibentuk gk percaya aku
chipsmorenkfineshyt,tabiat MU adalah kalah,tiktok_1,tabiat mu adalah kalah
zctylkazaaaz,bermain ama persib juga gayakin bisa menang😹,tiktok_1,bermain ama persib juga gayakin bisa menang
nassrmln,jangan sedih sampai tak makan tau babe @wakanda 🏎️,tiktok_1,jangan sedih sampai tak makan tau babe wakanda
ras0943,kasih Persipura vs mu pun Persipura win kayaknya 🗿,tiktok_1,kasih persipura vs mu pun persipura win kayaknya
cimolelit28,mu suruh maen di liga 2 aja,tiktok_1,mu suruh maen di liga aja
w4pres8,yang skil bagus nya gk main,tiktok_1,yang skil bagus nya gk main
cimolelit28,mu suruh maen di liga 2 aja,tiktok_1,mu suruh maen di liga aja
wand123_,"""semalam tengok gembira tapi...""""makan la sikit nanti sakit""""""",tiktok_1,semalam tengok gembira tapimakan la sikit nanti sakit
kio_resfect,knpa skrng ngebadut mulu☺️,tiktok_1,knpa skrng ngebadut mulu
imanzuhairi09,pandan muka,tiktok_1,pandan muka
gyaaaaaa35,katanya bakal juara😂😂😂😂😂,tiktok_1,katanya bakal juara
ariffnasikandar4,Aku nonton di stadium kalah cokk,tiktok_1,aku nonton di stadium kalah cokk
aidilfarhan1853,kalau ade RONALDO kan senang menang gitu,tiktok_1,kalau ade ronaldo kan senang menang gitu
fariqnahdan,Aguero is captainnnn Salam dari malaysia,tiktok_1,aguero is captainnnn salam dari malaysia
esgudaysenja,"nonton di tv one makanya ,mu menang 2:0",tiktok_1,nonton di tv one makanya mu menang
amir_p10,Semalam pergi stadium sekali kalah lagi,tiktok_1,semalam pergi stadium sekali kalah lagi
newervanabayu,lawan ssb dulu aja MU,tiktok_1,lawan ssb dulu aja mu
lidyaradja2,malu kalau aku di kantongin kakang wkwkw k,tiktok_1,malu kalau aku di kantongin kakang wkwkw k
x5frul._,"""datang jauh jauh membanggakan team❌",,datang jauh jauh membanggakan team
denat_dong,MU kalah lawan klub yg baru di bangun 1 bulan😂,tiktok_1,mu kalah lawan klub yg baru di bangun bulan
cesar.alfredo.iba,sabar mas saya juga kaget mu bisa kalah sama Asean all star tetep semangat mas mu bisa juara musim depan glory man united,tiktok_1,sabar mas saya juga kaget mu bisa kalah sama asean all star tetep semangat mas mu bisa juara musim depan glory man united
anis.marsella20,"kalah menang EMG hal yg wajar, tp kalo kalah Mulu kurang ajaa🤣",tiktok_1,kalah menang emg hal yg wajar tp kalo kalah mulu kurang ajaa
cun.co_,Letih jadi fans mu ni kalah tu jadi kebiasaan sangat dah ni,tiktok_1,letih jadi fans mu ni kalah tu jadi kebiasaan sangat dah ni
masde50,garnaco di kantonin kakang rudianto😂😂,tiktok_1,garnaco di kantonin kakang rudianto
sembang.loan,"Makan la bang😂...Kesian fans Menyu beratur panjang2 masuk stadium lambat seat xde, last2 nampak team yg baru training 2 hari menang😂",tiktok_1,makan la bangkesian fans menyu beratur panjang masuk stadium lambat seat xde last nampak team yg baru training hari menang
mrzlkh,mau angkat pialanya di eropa angkat piala di Asean aja GK bisa🗿,tiktok_1,mau angkat pialanya di eropa angkat piala di asean aja gk bisa
kasse_01,tidak di hina pun sudah hina😭🗿,tiktok_1,tidak di hina pun sudah hina
mrzlkh,mau angkat pialanya di eropa angkat piala di Asean aja GK bisa🗿,tiktok_1,mau angkat pialanya di eropa angkat piala di asean aja gk bisa
mayrascorporesion,tak perlu dihina pun sudah hina awokwok,tiktok_1,tak perlu dihina pun sudah hina awokwok
kenniekurniawan0,kakang SM Malik aja belum turun😆,tiktok_1,kakang sm malik aja belum turun
xlykzzxi,mu main pau ajah,tiktok_1,mu main pau ajah
ajim_thecaster2.0,"""kalah menang memang adat",,kalah menang memang adat
syarifhidayatullu,lawan pss Sleman juga Manchester united belum tentu menang,tiktok_1,lawan pss sleman juga manchester united belum tentu menang
kadek.deva96,"singkat kalah,ga mau makan 🤭",tiktok_1,singkat kalahga mau makan
govindpro_,my suruh narik becak aja,tiktok_1,my suruh narik becak aja
qiius_,"""bahkan lawan yg pemainnya dadakan latihanya beberapa minggu aja, king masih aja kalah.",,bahkan lawan yg pemainnya dadakan latihanya beberapa minggu aja king masih aja kalah
galih.marganingsi,garnacho dimana bang semalem? 🤭,tiktok_1,garnacho dimana bang semalem
mr.jeyyy97,kalah itu adalah rutin bagi man u 🗿,tiktok_1,kalah itu adalah rutin bagi man u
titowahyudi772,gas buka warung pecel ga seh🤪,tiktok_1,gas buka warung pecel ga seh
ayamtakpakesayap,Dokter tirta tertawa,tiktok_1,dokter tirta tertawa
amsyarhafiz93,makan dulu ya 😅,tiktok_1,makan dulu ya
afif.irfan10,sound khusus untuk mu,tiktok_1,sound khusus untuk mu
samber_gledek_lo,man utd aliansi ormas dalam bidang apa,tiktok_1,man utd aliansi ormas dalam bidang apa
kick.the.budy,yah masuk goa😁🗿,tiktok_1,yah masuk goa
healwithtime.pg,kasihan bgt bjirrr😂😂,tiktok_1,kasihan bgt bjirrr
kriknnngggg,Dibawah EASY masih ada EMYU😹,tiktok_1,dibawah easy masih ada emyu
danipanjidarajat,MU harus tetap ada.. tim yg sangat menghibur…😂,tiktok_1,mu harus tetap ada tim yg sangat menghibur
yp_076,ngga perlu dihina sudah hina wkwkw,tiktok_1,ngga perlu dihina sudah hina wkwkw
eightchien.cin,nasib gak ada pemain indo.klu ada gak akan menang cok..indo beban asean,tiktok_1,nasib gak ada pemain indoklu ada gak akan menang cokindo beban asean
r1anggi25,"""kakang penerus asnawi",,kakang penerus asnawi
bilaaboo,kalah sama tim yang baru dibentuk 2 hari😭,tiktok_1,kalah sama tim yang baru dibentuk hari
pondppnrvt,berani bgt pake jersey mu keluar rumah🗿,tiktok_1,berani bgt pake jersey mu keluar rumah
kylmooi,malu bg🤭,tiktok_1,malu bg
rizqyrmdhn66666,Apaan piala ciki udah tau emyu fokus utbk,tiktok_1,apaan piala ciki udah tau emyu fokus utbk
unknow5075_,piala Maybank pun sukar di dptkn oleh MU 🤣,tiktok_1,piala maybank pun sukar di dptkn oleh mu
adel44576,Yanaitud,tiktok_1,yanaitud
itsmemthrq,"kalah menang itu hal yang wajar, tapi kalah dari ASEAN all star itu tidak wajar😂",tiktok_1,kalah menang itu hal yang wajar tapi kalah dari asean all star itu tidak wajar
pukisnaked_tangerang,"MU konsisten bang, di liga kalah, di eropa kalah, di Asean kalah, emang manteb MU",tiktok_1,mu konsisten bang di liga kalah di eropa kalah di asean kalah emang manteb mu
jusrilefrenmnr_0109,MU masuk goa🤣🤣🤣,tiktok_1,mu masuk goa
sandii_ir,Susah kan juara AFF,tiktok_1,susah kan juara aff
aryamuhaimin1,man city mau diajarin kalahin mu😂,tiktok_1,man city mau diajarin kalahin mu
yatie.113,Haha 😂😂😂😂 jauh jauh datang Malaysia😂😂,tiktok_1,haha jauh jauh datang malaysia
lazy.boy.0,bukan aff itu tapi maybank challenge,tiktok_1,bukan aff itu tapi maybank challenge
bang.demon.yt,Lagu Manise versi originalnya cek vt saya 😇,tiktok_1,lagu manise versi originalnya cek vt saya
snorlax_axx,mending season depan degradasi aja asli,tiktok_1,mending season depan degradasi aja asli
fateh_176,Bukan 3-2 ke,tiktok_1,bukan ke
sultan.gohan.suwa,tadi semangat sekarang sedih🤣🤣,tiktok_1,tadi semangat sekarang sedih
kenorexxya1,wkwkw. king assean all Stars kasih telor buat mu,tiktok_1,wkwkw king assean all stars kasih telor buat mu
phoenix.gamer6,bang emyu kayaknya harus rombak ulang deh,tiktok_1,bang emyu kayaknya harus rombak ulang deh
rbbayanillah,"""Main dimana aja kalah.. 🤣😂",,main dimana aja kalah
nad144p,kalah wajar menang gak mungkin🗿,tiktok_1,kalah wajar menang gak mungkin
angelo12386.e,yaah kalah ama asean all star 😂😂🤣🤣,tiktok_1,yaah kalah ama asean all star
eri_arlanda,kalah sama kakang yang makan kangkung,tiktok_1,kalah sama kakang yang makan kangkung
bakaran_sate,besok : jamaah jum'at yg berbahagia,tiktok_1,besok jamaah jumat yg berbahagia
yaudah_bolehhhhhh,gagal jadi king asean🤣,tiktok_1,gagal jadi king asean
akip6910,"""kalah menang itu hal yang wajar,",,kalah menang itu hal yang wajar
usernamefx1,@ΛПΛK KIЯIMΛП ƧYЦЯGΛ makan lerr 🙈🙈,tiktok_1,k kiim yg makan lerr
pinzz_antigedor,mu kalah?,tiktok_1,mu kalah
sukaputririas,bingung milih mana ASEAN ada Indonesia emyu klub ku😞😞😞,tiktok_1,bingung milih mana asean ada indonesia emyu klub ku
daffaavicennaw,"takut MU dibully pas balik ke Inggris🤣. Ama tim piala Chiki aja kalah, gimana mau ngejar piala liga",tiktok_1,takut mu dibully pas balik ke inggris ama tim piala chiki aja kalah gimana mau ngejar piala liga
raszalonee,"""kalo madrid di katain """"kalah menang itu hal yg wajar""""",,kalo madrid di katain kalah menang itu hal yg wajar
mocilstyle31,emng emyu sengaja kalah biar asia seneng,tiktok_1,emng emyu sengaja kalah biar asia seneng
adam_daniel46,bro jangaan menghina suatu hari nanti kita yang kalaah,tiktok_1,bro jangaan menghina suatu hari nanti kita yang kalaah
rizqi27_aja,sabar bang mu lagi buruk buruknya pasti suatu saat akan bangkit lagi,tiktok_1,sabar bang mu lagi buruk buruknya pasti suatu saat akan bangkit lagi
_clowyyyy_,MU lawan Persib keknya Persib bisa menang🗿,tiktok_1,mu lawan persib keknya persib bisa menang
krebypetti1,@buN,tiktok_1,bun
shariq.shaquille,"""mau liat orang setia gak?",,mau liat orang setia gak
zeva.arnata,"Kalah menang itu hal yang wajar, tapi kalah dari asia tenggara itu ga wajar 😆😆😆🤣",tiktok_1,kalah menang itu hal yang wajar tapi kalah dari asia tenggara itu ga wajar
alhafizz.saja,coba kalian terjemahkan captionnya,tiktok_1,coba kalian terjemahkan captionnya
dafaareal,mu renmatc lawan indo aj🗿🗿,tiktok_1,mu renmatc lawan indo aj
safwan32323,sruh MU main ngan budak ja,tiktok_1,sruh mu main ngan budak ja
safwan32323,sruh MU main ngan budak ja,tiktok_1,sruh mu main ngan budak ja
walid_dewi212,Asean allstars lawan tim tarkam cuma bisa 1-0,tiktok_1,asean allstars lawan tim tarkam cuma bisa
ibnunawawie1,fans sepakbola paling tabah adalah fans MU,tiktok_1,fans sepakbola paling tabah adalah fans mu
bin0002,kenapa MU sering kalah. tapi fans nya banyak juga (bertanya dg nada lemah lembut),tiktok_1,kenapa mu sering kalah tapi fans nya banyak juga bertanya dg nada lemah lembut
aplikasihijau_02,srh lawan liga 3 pasti juara munyuk itu,tiktok_1,srh lawan liga pasti juara munyuk itu
utraensem,udah tau MU gk seperti dulu msih AJ ditonton,tiktok_1,udah tau mu gk seperti dulu msih aj ditonton
arman.al.gifari,gw mimpi mu menang 1:0 tapi malah sebaliknya 🗿🗿,tiktok_1,gw mimpi mu menang tapi malah sebaliknya
walzz.aja0,menang kalah tetap glory glory Man united kan bg,tiktok_1,menang kalah tetap glory glory man united kan bg
davzzzsukasomay,paling bener emang jual pecel lele aja,tiktok_1,paling bener emang jual pecel lele aja
randyalcatraz,itu MU pemain inti kah?,tiktok_1,itu mu pemain inti kah
pmmymverse1,memang lah mu dah takde Anthony Kalau ada all star asean kalah. ngan Malaysia pun kalah ke?,tiktok_1,memang lah mu dah takde anthony kalau ada all star asean kalah ngan malaysia pun kalah ke
.bujang_rantau,suruh ikut piala 17 an aja emyu. nanti pasti juara 😅,tiktok_1,suruh ikut piala an aja emyu nanti pasti juara
coquettemes3,@sna_.na KAHKAHKAH,tiktok_1,snana kahkahkah
sriharnidawati6,meh makan meh,tiktok_1,meh makan meh
aliff.....21,@_pens mu_ cairr 20.000 si iki 🤣🤣😇,tiktok_1,pens mu cairr si iki
koriter___i_love_wibu,Mereka kan raja rja peringkat bawah 🗿🗿,tiktok_1,mereka kan raja rja peringkat bawah
sukamatcha3598,belum pemain inti itu bang😭,tiktok_1,belum pemain inti itu bang
yulhealang_,sape yg amik sign player MU tu semua dah bole dduk dlm gua ramai2 🤣,tiktok_1,sape yg amik sign player mu tu semua dah bole dduk dlm gua ramai
cinnabbonn,Kalah sama penghuni AFF 🤣🤣🤣🤣,tiktok_1,kalah sama penghuni aff
pondok.takrim,Jauh2 ke malaysia cuma buat liat kakang angkat piala,tiktok_1,jauh ke malaysia cuma buat liat kakang angkat piala
pebbyar,@Direktur Reskrimum Polda Jambi pak masih bisa makan kan🤣🤣🤣🤣🤣,tiktok_1,direktur reskrimum polda jambi pak masih bisa makan kan
roby_rulzz12,lawan asean pemain bintang di turunin tapi hasil nya 1-0 wkwk garnaco di kantongin kakang❤️‍🔥,tiktok_1,lawan asean pemain bintang di turunin tapi hasil nya wkwk garnaco di kantongin kakang
azrulcuyy,Jangan dihina mu..kerna sudah hina🔥🔥🔥🔥,tiktok_1,jangan dihina mukerna sudah hina
elitcs900,ih takutnya🗿🗿🗿,tiktok_1,ih takutnya
icca4m_genshin,"""decul: Klian masih Barca kan?",,decul klian masih barca kan
samurai.zxuxz777,@Zeth⚡️kapan tsunami tropy,tiktok_1,zethkapan tsunami tropy
farooq_200657,"Tak apa, cuma secawan.",tiktok_1,tak apa cuma secawan
dansadanarfi0,sekelas MU aj kalah lawan ASEAN All Star,tiktok_1,sekelas mu aj kalah lawan asean all star
yusticiaanggi_,"hari ini gak masak, suami lagi gak mood tim kecintaan dia kalah☺️🔥",tiktok_1,hari ini gak masak suami lagi gak mood tim kecintaan dia kalah
aleeya3452,"menang kalah itu adat, MU kalah itu tabiat",tiktok_1,menang kalah itu adat mu kalah itu tabiat
dwi_ariansyah,"jgn kan lawan all star asean, MU lawan Rans saja pasti kalah",tiktok_1,jgn kan lawan all star asean mu lawan rans saja pasti kalah
am_syar55,pemain star pun ada 2 3 orang ja,tiktok_1,pemain star pun ada orang ja
iislamituindah77,emang pling cocok degradasi nih tim 😂,tiktok_1,emang pling cocok degradasi nih tim
zoro_flashing,turut berduka cita sebagai fan Manchester United,tiktok_1,turut berduka cita sebagai fan manchester united
a.mbndl,udah gak ketolong lagi tolongggg😭,tiktok_1,udah gak ketolong lagi tolongggg
abghanimahmud,Lucu amat konten ini... Hahaha... 😅😅,tiktok_1,lucu amat konten ini hahaha
real_elvira,@buN @dikk:di ayam ayamin king ASEAN 😭 1-0 menang ASEAN all star🗿,tiktok_1,bun dikkdi ayam ayamin king asean menang asean all star
diwsfz3,MU mau ikut piala presiden gak lawan king Persib 😂,tiktok_1,mu mau ikut piala presiden gak lawan king persib
user237680081847,maksud gw tuh kok bisa kalah?😭,tiktok_1,maksud gw tuh kok bisa kalah
kinzvyz_11,sekelas mu dikalahin team ASEAN alstar,tiktok_1,sekelas mu dikalahin team asean alstar
kyoto5319,MU fokus main tarkam anj 😂😂😂,tiktok_1,mu fokus main tarkam anj
diki.m6,negara sendiri ga di dukung,tiktok_1,negara sendiri ga di dukung
manaris_123,mancaster mah emang bot,tiktok_1,mancaster mah emang bot
skysyaf3_3,Mau ke gua kelam gak?,tiktok_1,mau ke gua kelam gak
b_i_g_77,jadi badut🤡🤡,tiktok_1,jadi badut
regz.mc,"jadi myu itu kasian,jadi di kasih menang aja🗿",tiktok_1,jadi myu itu kasianjadi di kasih menang aja
lapakproperty.banua,"PDHL SENGAJA DI UTUS TUK MENAKLUKKAN ASEAN , stlah gagal ke kejuaraan Eropa musim depan , tapi hasilnya tetap zonk ...beraat ...",tiktok_1,pdhl sengaja di utus tuk menaklukkan asean stlah gagal ke kejuaraan eropa musim depan tapi hasilnya tetap zonk beraat
bion_03,kalah ama Asean all star itu udh gk wajar bu😆,tiktok_1,kalah ama asean all star itu udh gk wajar bu
