User,Comment,Source,clean_text
bagusagam27,"""""""fun match ngapain diseriusin"""" emang pernah serius? perasaan lawak mulu dah🗿""",tiktok_1,fun match ngapain diseriusin emang pernah serius perasaan lawak mulu dah
mayorrendi,next lawan Persib Bandung😭😭,tiktok_1,next lawan persib bandung
kevinszzz,padahal itu belum all star sebenarnya,tiktok_1,padahal itu belum all star sebenarnya
vivojoos535,main di BRI liga 1 juga paling degradasi🗿,tiktok_1,main di bri liga juga paling degradasi
rizki.n.302,MU kayak level liga3 indonesia🗿,tiktok_1,mu kayak level liga indonesia
wonngnz4,tukeran aja bang asean all Star yg main di epl aja MU main di aff🤣,tiktok_1,tukeran aja bang asean all star yg main di epl aja mu main di aff
fansdavidbeckham,gpp bang dahulu Indonesia menang 1:0 melawan ASEAN ALL STAR. nanti juga manchester United akan tsunami trophy 🔴🔴🔴,tiktok_1,gpp bang dahulu indonesia menang melawan asean all star nanti juga manchester united akan tsunami trophy
dapp_dappa,"zaman dulu lawan eropa xi (Europa all star) easy win, lah sekarang Asean all star doang kalah 1-0, sungguh lawak klub ini🗿",tiktok_1,zaman dulu lawan eropa xi europa all star easy win lah sekarang asean all star doang kalah sungguh lawak klub ini
tettanaadiba,"ASEAN all star juga bukan pemain utama ASEAN seperti chanatip, jay, Thom, faisal halim, gelandang Vietnam Nguyen van spalah namanya itu 🤣",tiktok_1,asean all star juga bukan pemain utama asean seperti chanatip jay thom faisal halim gelandang vietnam nguyen van spalah namanya itu
_veckyy,sudah tidak wajar kalo emyu☺️,tiktok_1,sudah tidak wajar kalo emyu
ssyyybl,"kalo soal kalah , emang emyu pemenangnya",tiktok_1,kalo soal kalah emang emyu pemenangnya
rzl.32,asean all stars menyelamatkan dunia dari kebrisikan,tiktok_1,asean all stars menyelamatkan dunia dari kebrisikan
frl..o,niat nyari pengalaman malah ngasih pengalaman buat MU,tiktok_1,niat nyari pengalaman malah ngasih pengalaman buat mu
satrzkyy,"fokus ASEAN all star katanya wak, ini hasilnya? 😂",tiktok_1,fokus asean all star katanya wak ini hasilnya
